gen	g	m	dd	mf	ddd	r	pg	pm	mm	md	s
0	100	100	100	100	100	100	100	100	100	100	100
1	98	78	123	41	123	122	98	78	122	41	176
2	93	60	126	43	130	129	171	17	116	43	172
3	100	55	175	31	163	162	91	20	145	25	133
4	102	39	181	33	184	183	73	14	150	26	115
5	104	24	206	12	192	196	123	2	171	10	60
6	107	16	231	14	216	221	51	2	177	10	55
7	111	9	249	5	233	238	33	1	191	3	27
8	110	5	248	5	233	240	46	0	190	3	20
9	112	3	263	2	245	253	15	0	196	1	10
10	113	1	265	2	249	257	8	0	197	1	7
11	113	1	266	1	249	258	11	0	198	0	3
12	113	0	269	1	252	261	3	0	199	0	2
13	113	0	270	0	253	262	2	0	199	0	1
14	113	0	270	0	253	262	2	0	199	0	1
15	113	0	271	0	253	263	1	0	199	0	0
16	113	0	271	0	253	263	1	0	199	0	0
17	113	0	271	0	253	263	1	0	199	0	0
18	113	0	271	0	253	263	1	0	199	0	0
19	113	0	271	0	253	263	1	0	199	0	0
20	113	0	271	0	253	263	1	0	199	0	0
21	113	0	271	0	253	263	1	0	199	0	0
22	113	0	271	0	253	263	1	0	199	0	0
23	113	0	271	0	253	263	1	0	199	0	0
24	113	0	271	0	253	263	1	0	199	0	0
25	113	0	271	0	253	263	1	0	199	0	0
26	113	0	271	0	253	263	1	0	199	0	0
27	113	0	271	0	253	263	1	0	199	0	0
28	113	0	271	0	253	263	1	0	199	0	0
29	113	0	271	0	253	263	1	0	199	0	0
30	113	0	271	0	253	263	1	0	199	0	0
